Comment,Designator,Footprint,LCSC Part #
1M,R8,R0402,
1N4148,D1 D5,SOD323-R,
1k,R11 R23,R0402,
1uF,C28 C29,C0603,
2.2uH,L1,L5.4X5.2,C351096
4.7k,R16 R17,R0402,
5.1k,R4 R5,R0402,
8.2n,C9,C0603,
10k,R1 R2 R3 R12 R20,R0402,
13k,R10,R0402,
20k,R6,R0402,
22uF,C4 C5 C10,C0603,
47uF,C2,C0805,
91k,R7,R0402,
100k,R13 R18 R19 R21,R0402,
100n,C11 C12,C0402,
100n,C13 C14 C15 C16 C17 C20 C21 C22 C24,C0603,
100nF,C1,C0603,
100nF,C6 C8 C27,C0402,
100uF,C7 C19 C25 C26,C1206,
330p,C18,C0402,
620k,R9 R22,R0402,
0805L050,F1,0805L,C66452
AO3400,Q3 Q5,SOT23,C693097
CH9102F,IC3,QFN24-4X4,
ESP32-WROOM-32E,IC2,ESP32WROOM32E,
FUET-5020,SG1,FUET-5020,C391029
GREEN,POWER,CHIPLED_0402,
JST-PH-2/90SMD,M1 M2 M3 M4,S2B-PH-SM4,C47647
JST-SH-4P,J3 J5,1X04_1MM_RA_VERT,C371588
JST-SH-6P,J1,1X06_1MM_RA_VERT,C145963
JST-XH-3P/90SMD,BATTERY,S3B-XH-SM4,
LMR14050DDAR,IC5,SO08-EPAD,C155484
ME6211C33M5G,IC4,SOT23-5,
MMDT3904,Q1,SC70-6,C268586
PCA9685PW 118,IC1,TSSOP28,C2678753
PJM07P20SA,Q2,SOT23,C2856842
S9013,Q4,SOT23-BEC,C52801
SS1045-SMB,D4,SMB,C2903947
TB6612FNG,IC6 IC7,SSOP24,
TS-1088R-02026,RESET,TS1088R02026,C455280
TS-1102S-B-H-B,ON/OFF,B3F-SMD,
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
